Feature ID	Taxon	Confidence
e835140d03c9a7d1dd3a6f00598c57a0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Serpentinimonas	0.7057843085314127
7e297198559fea1296506bbdaa382643	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales	0.8280277976617981
2d51908e6bd43aa1ca6152d6d7c28f77	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_G;f__Fictibacillaceae;g__Fictibacillus;s__Fictibacillus sp004216955	0.9113722562407095
4aff41633fdfbbb6b12b0fabf5cbff4c	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum	0.9998483598019394
48e0b37cd316880ac09bdad646aa1508	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.9934233734871039
f14ccee018b54860412854330cff742d	Unassigned	0.9327699717760047
e32ca2cdba18d3ff91c239a609ba2ecb	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Leadbetterella;s__Leadbetterella sp002256295	0.991146074936595
f675e3fea345ddd19fe5fdc843c6ff8b	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__UBA6024;s__UBA6024 sp002429385	0.9811721377683174
f8791f4151f98f47bbcdd329fe8a7c06	d__Bacteria	0.9999999999911805
8efeede7d7afbf5abdadea00b07fbe33	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	0.9996508467115385
3ec880b7f43237cba242ddc6903c43e7	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015232455	0.9063466895555414
3cf45df5af7cd693ea98cfdd13ff5aaa	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__UBA956;s__UBA956 sp027487435	0.9997729966953092
1835714c1d90a0907e7ffebfd0c8e9da	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	0.9196568570815101
bd33f7bc6bcffefa5b89c72f1c593960	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	0.7633609471842862
e3673c8665a294e09936e62329795b16	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	0.9500020388312622
ca424b21ea52aefc9b1b1f3c8cbc6b60	d__Bacteria	0.9957805166744029
a10afd46591d6a4f0d35146804199b9f	d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.9930736360836077
b1374a93fb9c2e17319e4518f0f9b02c	d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.9990938019608882
4ee485d894e925d2ac490a586941bd66	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2103;g__C7867-001;s__C7867-001 sp027459545	0.9892694186913767
69b39eba231b4e88a1dec1e8724ec37f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__2-12-FULL-35-15 sp016707685	0.9999931216532991
83cb757cbed7424d4a5b34cce836f15c	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__Planktophila sp947383695	0.9966834878943789
e4f475354ea42e1c42b652e3931e9e05	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__2-12-FULL-35-15 sp016707685	0.9997212063212247
b29a06c602e6ef047d2a5ddcce1d063d	d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.9980509155266792
65de5b92055932fdfac9fba21f3a459b	d__Bacteria	0.9999999999961873
addaaacfa379e4f5b3d74829cb8acad5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella isopodorum	0.9377617972883894
a12715088997ed5aa47bf187a0c55440	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	0.9958112902176527
21153a2b5a0fc7ac54af0b26ccb08ec4	d__Bacteria	0.9057177168678392
567fbded4c9ba908bfa75e375236fef4	d__Bacteria	0.9993573848718522
1aab737c93dcb31e703d5d6b7bac057b	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus coagulans	0.9896813555244207
9727f6aceb714f6d44757ed7a271b3f3	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna	0.8376679569568313
01d29eda15346aa711ee8e4a3425f6db	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__Rhodoluna limnophila	0.901932002381108
